word,count,closest_food_term,food_similarity_score
fruit,1112,fruit,1.0
bread,375,bread,1.0000001192092896
fish,240,seafood,0.5707440376281738
tableware,162,cookware,0.6234723925590515
wine,139,wine,0.9999998807907104
meal,135,meal,0.9999999403953552
fishing,116,seafood,0.5047895908355713
cheese,107,cheese,1.0
chicken,86,meat,0.5489962100982666
pear,77,fruit,0.5208003520965576
food,73,food,1.0000001192092896
poultry,71,dairy,0.5755723714828491
vegetable,69,vegetable,0.9999998807907104
pomegranate,66,vegetable,0.5557717680931091
drink,65,beverage,0.5394682288169861
lobster,60,seafood,0.5004128217697144
onion,45,dessert,0.5671090483665466
cabbage,43,vegetable,0.6046385765075684
eating,35,meat,0.5515639781951904
meat,35,meat,1.0
watermelon,30,vegetable,0.528562605381012
fig,30,fruit,0.5087279081344604
hazelnut,29,dessert,0.5484591126441956
apricot,27,dessert,0.5308932065963745
butter,26,dessert,0.6203767657279968
carrot,25,dessert,0.5624767541885376
cuisine,22,seafood,0.5574806928634644
asparagus,21,vegetable,0.5451483726501465
breakfast,21,dessert,0.616776704788208
stoneware,21,cookware,0.5214280486106873
beer,20,beverage,0.5393143892288208
glassware,18,cookware,0.6610281467437744
dinner,17,meal,0.5485965013504028
shrimp,15,seafood,0.5764824151992798
seaweed,15,seafood,0.6442687511444092
crayfish,15,seafood,0.5489075183868408
pancake,15,dessert,0.6205298900604248
sausage,13,dessert,0.6226245164871216
tomato,13,vegetable,0.5032092332839966
pork,13,meat,0.6506816744804382
lunch,13,meal,0.5029496550559998
cooking,11,cookware,0.6091788411140442
milk,11,cheese,0.5644234418869019
cookie,9,cookware,0.610002875328064
cake,9,dessert,0.603215217590332
pastry,8,dessert,0.6574260592460632
beef,8,meat,0.648333728313446
soup,7,dessert,0.5797238349914551
porridge,7,bread,0.536651074886322
sugarcane,6,dairy,0.5731462836265564
coffee,6,beverage,0.5213320851325989
absinthe,6,wine,0.5024823546409607
cauliflower,6,vegetable,0.5794069766998291
biscuit,5,cheese,0.5015177726745605
grille,5,dessert,0.5284355878829956
garlic,5,dessert,0.5590499639511108
kitchenware,5,cookware,0.6369888782501221
roast,5,dessert,0.5595222115516663
cook,4,cookware,0.5290406346321106
radish,4,vegetable,0.575332760810852
toast,4,dessert,0.5699666738510132
chocolate,3,cheese,0.5559748411178589
waffle,3,dessert,0.5702393054962158
earthenware,3,cookware,0.579997718334198
baking,3,bread,0.6158974170684814
peppercorn,3,vegetable,0.5464695692062378
cucumber,3,seafood,0.6042054295539856
coconut,2,seafood,0.5416771173477173
dessert,2,dessert,1.0000001192092896
gooseberry,2,fruit,0.5162683725357056
winery,2,wine,0.6580873131752014
beet,2,dessert,0.5326139330863953
vinegar,2,seafood,0.5797849297523499
dish,2,dessert,0.611129879951477
venison,2,meat,0.5195775032043457
carrion,2,meat,0.5083756446838379
liqueur,2,dessert,0.5725086331367493
cream,2,dessert,0.5672721862792969
catfish,1,seafood,0.5149325728416443
distillation,1,beverage,0.5285652875900269
sheepskin,1,meat,0.505854606628418
passionfruit,1,fruit,0.6863160133361816
bagel,1,dessert,0.5252050161361694
mustard,1,vegetable,0.5366457104682922
couscous,1,dessert,0.5512335300445557
lettuce,1,vegetable,0.6337890625
ricotta,1,dessert,0.5118134617805481
eggplant,1,vegetable,0.5957080721855164
roasting,1,dessert,0.5449367761611938
bakery,1,bread,0.5321594476699829
legume,1,vegetable,0.5515660047531128
pasta,1,dessert,0.6111680865287781
rhubarb,1,vegetable,0.5519810914993286
oats,1,dairy,0.5159069299697876
lemonade,1,beverage,0.502042293548584
sauce,1,dessert,0.5970004796981812
acorn,1,vegetable,0.5270028114318848
grains,1,vegetable,0.5724907517433167
peanut,1,dessert,0.5541935563087463
flour,1,bread,0.6147522926330566
cinnamon,1,dessert,0.568082332611084
grapefruit,1,fruit,0.7845067977905273
condiment,1,dessert,0.6320158243179321
veal,1,dairy,0.5684984922409058
treacle,1,bread,0.5254884958267212
