title,painter,creation_date,author_gender,author_country,location_name,location_country,time_period,image_path,image_url
title,Pieter Brueghel the Elder,,male,Duchy of Brabant,Kunsthistorisches Museum,Austria,,img/img_512/Pieter Bruegel the Elder - Hunters in the Snow (Winter) - Google Art Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20the%20Elder%20-%20Hunters%20in%20the%20Snow%20%28Winter%29%20-%20Google%20Art%20Project.jpg
title,Dieric Bouts,,male,Duchy of Burgundy,Gemäldegalerie,Germany,,img/img_512/Bouts anoiting.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Bouts%20anoiting.jpg
title,Henri Rousseau,2024.0,male,France,Museum of Modern Art,United States of America,,img/img_512/Henri Rousseau 005.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Rousseau%20005.jpg
title,Kazimir Malevich,1918.0,male,Russian Empire,Museum of Modern Art,United States of America,,"img/img_512/White on White (Malevich, 1918).png",http://commons.wikimedia.org/wiki/Special:FilePath/White%20on%20White%20%28Malevich%2C%201918%29.png
title,Caravaggio,,male,Duchy of Milan,National Gallery,United Kingdom,,img/img_512/Caravaggio - Boy Bitten by a Lizard.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20-%20Boy%20Bitten%20by%20a%20Lizard.jpg
title,Giovanni Bellini,,male,Republic of Venice,Musée des Beaux-Arts et d'Archéologie de Besançon,France,,img/img_512/Drunkenness of Noah bellini.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Drunkenness%20of%20Noah%20bellini.jpg
title,Vincent van Gogh,1890.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Korenveld met kraaien - s0149V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Korenveld%20met%20kraaien%20-%20s0149V1962%20-%20Van%20Gogh%20Museum.jpg
title,Pieter Brueghel the Elder,,male,Duchy of Brabant,Museo del Prado,Spain,,img/img_512/The Triumph of Death by Pieter Bruegel the Elder.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Triumph%20of%20Death%20by%20Pieter%20Bruegel%20the%20Elder.jpg
title,Peter Paul Rubens,,male,Spanish Netherlands,Kunsthistorisches Museum,Austria,,img/img_512/Rubens Medusa.jpeg,http://commons.wikimedia.org/wiki/Special:FilePath/Rubens%20Medusa.jpeg
title,Jan Steen,,male,Dutch Republic,Mauritshuis,Netherlands,,img/img_512/Jan Steen 008.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Steen%20008.jpg
